category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	standard_copy5_ground-2.yml	False	OUT OF MEMORY	114.86948094	4999.999488	OUT OF MEMORY	109.690136144	4999.999488	OUT OF MEMORY	111.844875855	4999.999488	OUT OF MEMORY	102.389253657	4999.999488	OUT OF MEMORY	112.127156748	4999.999488	OUT OF MEMORY	107.268477912	4999.999488	OUT OF MEMORY	104.221929231	4999.999488
ReachSafety-Arrays	array-examples	standard_copy6_ground-1.yml	False	OUT OF MEMORY	114.716618972	4999.999488	OUT OF MEMORY	106.01304642	4999.999488	OUT OF MEMORY	108.496801843	4999.999488	OUT OF MEMORY	102.599234123	4999.999488	OUT OF MEMORY	108.091845264	4999.999488	OUT OF MEMORY	104.032640861	4999.999488	OUT OF MEMORY	102.267281683	4999.999488
ReachSafety-Arrays	array-examples	standard_copy6_ground-2.yml	True	OUT OF MEMORY	116.92273945	4999.999488	OUT OF MEMORY	108.930570648	4999.999488	OUT OF MEMORY	111.552844073	4999.999488	OUT OF MEMORY	105.227077744	4999.999488	OUT OF MEMORY	111.39315813	4999.999488	OUT OF MEMORY	106.334074771	4999.999488	OUT OF MEMORY	105.145484123	4999.999488
ReachSafety-Arrays	array-examples	standard_copy7_ground-1.yml	False	OUT OF MEMORY	114.398869452	4999.999488	OUT OF MEMORY	104.804381134	4999.999488	OUT OF MEMORY	110.419340035	4999.999488	OUT OF MEMORY	104.728193175	4999.999488	OUT OF MEMORY	107.002404686	4999.999488	OUT OF MEMORY	105.115610736	4999.999488	OUT OF MEMORY	105.961348632	4999.999488
ReachSafety-Arrays	array-examples	standard_copy7_ground-2.yml	True	OUT OF MEMORY	115.816412312	4999.999488	OUT OF MEMORY	105.731749576	4999.999488	OUT OF MEMORY	110.72338729	4999.999488	OUT OF MEMORY	100.177404408	4999.999488	OUT OF MEMORY	108.030830509	4999.999488	OUT OF MEMORY	104.005517384	4999.999488	OUT OF MEMORY	102.816371563	4999.999488
ReachSafety-Arrays	array-examples	standard_copy8_ground-1.yml	True	OUT OF MEMORY	114.505837843	4999.999488	OUT OF MEMORY	110.564731772	4999.999488	OUT OF MEMORY	114.882819105	4999.999488	OUT OF MEMORY	108.256873416	4999.999488	OUT OF MEMORY	111.76133427	4999.999488	OUT OF MEMORY	108.439214844	4999.999488	OUT OF MEMORY	106.939863328	4999.999488
ReachSafety-Arrays	array-examples	standard_copy8_ground-2.yml	False	OUT OF MEMORY	112.634185496	4999.999488	OUT OF MEMORY	102.865912503	4999.999488	OUT OF MEMORY	108.322062957	4999.999488	OUT OF MEMORY	103.984771684	4999.999488	OUT OF MEMORY	103.909627042	4999.999488	OUT OF MEMORY	103.334280296	4999.999488	OUT OF MEMORY	99.642734434	4999.999488
ReachSafety-Arrays	array-examples	standard_copy9_ground-1.yml	False	OUT OF MEMORY	113.108294971	4999.999488	OUT OF MEMORY	99.789098496	4999.999488	OUT OF MEMORY	102.314333483	4999.999488	OUT OF MEMORY	94.284087835	4999.999488	OUT OF MEMORY	96.159260944	4999.999488	OUT OF MEMORY	98.870268906	4999.999488	OUT OF MEMORY	97.500784123	4999.999488
ReachSafety-Arrays	array-examples	standard_copy9_ground-2.yml	True	OUT OF MEMORY	112.670943069	4999.999488	OUT OF MEMORY	99.13297202	4999.999488	OUT OF MEMORY	103.700733163	4999.999488	OUT OF MEMORY	97.279606789	4999.999488	OUT OF MEMORY	100.936161419	4999.999488	OUT OF MEMORY	98.978745471	4999.999488	OUT OF MEMORY	99.11186314	4999.999488
ReachSafety-Arrays	array-examples	standard_copyInitSum2_ground-1.yml	False	TIMEOUT	301.329847056	2892.980224	TIMEOUT	301.462468021	3240.771584	TIMEOUT	301.404597504	3240.689664	TIMEOUT	301.602073943	3241.242624	TIMEOUT	301.654189663	3241.213952	TIMEOUT	301.345605548	3241.201664	TIMEOUT	301.428711548	3241.250816
ReachSafety-Arrays	array-examples	standard_copyInitSum2_ground-2.yml	True	TIMEOUT	301.255029125	3174.682624	TIMEOUT	301.427105639	3522.592768	TIMEOUT	301.595755783	3522.629632	TIMEOUT	301.544881871	3523.158016	TIMEOUT	301.729803486	3523.149824	TIMEOUT	301.447688697	3523.145728	TIMEOUT	301.637080225	3523.129344
ReachSafety-Arrays	array-examples	standard_copyInitSum3_ground.yml	True	TIMEOUT	301.461305722	3940.069376	TIMEOUT	301.571213634	4377.76384	TIMEOUT	301.690453263	4377.772032	TIMEOUT	301.798388834	4378.259456	TIMEOUT	301.848410373	4378.25536	TIMEOUT	301.543264112	4378.226688	TIMEOUT	301.842871892	4378.271744
ReachSafety-Arrays	array-examples	standard_copyInitSum_ground.yml	True	TIMEOUT	301.30019057	3185.303552	TIMEOUT	301.476773041	3533.156352	TIMEOUT	301.578783139	3533.2096	TIMEOUT	301.672854571	3533.7216	TIMEOUT	301.690544188	3533.713408	TIMEOUT	301.425354238	3533.635584	TIMEOUT	301.723201684	3533.774848
ReachSafety-Arrays	array-examples	standard_copyInit_ground.yml	True	TIMEOUT	301.230057103	2443.93984	TIMEOUT	301.243892012	2676.51072	TIMEOUT	301.493500542	2676.498432	TIMEOUT	301.546679327	2676.936704	TIMEOUT	301.512572356	2677.018624	TIMEOUT	301.098131243	2676.953088	TIMEOUT	301.56565801	2676.98176
ReachSafety-Arrays	array-examples	standard_find_ground-1.yml	True	OUT OF MEMORY	144.321096116	4999.999488	OUT OF MEMORY	143.553965979	4999.999488	OUT OF MEMORY	146.055075316	4999.999488	OUT OF MEMORY	142.045682894	4999.999488	OUT OF MEMORY	143.006242325	4999.999488	OUT OF MEMORY	145.857263521	4999.999488	OUT OF MEMORY	144.185767846	4999.999488
ReachSafety-Arrays	array-examples	standard_init1_ground-1.yml	False	TIMEOUT	301.203139595	1847.820288	TIMEOUT	301.103443783	2009.890816	TIMEOUT	301.422580861	2009.800704	TIMEOUT	301.424271605	2010.329088	TIMEOUT	301.442248901	2010.345472	TIMEOUT	301.072893295	2010.349568	TIMEOUT	301.449702927	2010.300416
ReachSafety-Arrays	array-examples	standard_init1_ground-2.yml	True	TIMEOUT	301.159293998	1847.861248	TIMEOUT	301.204055441	2009.694208	TIMEOUT	301.307112154	2009.710592	TIMEOUT	301.381040639	2010.206208	TIMEOUT	301.477323399	2010.284032	TIMEOUT	301.133524166	2010.271744	TIMEOUT	301.392597041	2010.185728
ReachSafety-Arrays	array-examples	standard_init2_ground-1.yml	False	TIMEOUT	301.306884849	2365.6448	TIMEOUT	301.163618919	2578.86208	TIMEOUT	301.46391167	2578.956288	TIMEOUT	301.439793544	2579.3536	TIMEOUT	301.600396148	2579.484672	TIMEOUT	301.119752146	2579.484672	TIMEOUT	301.525636831	2579.402752
ReachSafety-Arrays	array-examples	standard_init2_ground-2.yml	True	TIMEOUT	301.084448284	2365.571072	TIMEOUT	301.277957699	2578.866176	TIMEOUT	301.47861235	2578.919424	TIMEOUT	301.479629011	2579.390464	TIMEOUT	301.319816327	2579.41504	TIMEOUT	301.327083027	2579.378176	TIMEOUT	301.423202123	2579.49696
ReachSafety-Arrays	array-examples	standard_init3_ground-1.yml	False	TIMEOUT	301.313390055	2885.4272	TIMEOUT	301.262821816	3149.934592	TIMEOUT	301.208777711	3150.032896	TIMEOUT	301.647258199	3150.471168	TIMEOUT	301.632756447	3150.49984	TIMEOUT	301.292901334	3150.426112	TIMEOUT	301.702994875	3150.471168
ReachSafety-Arrays	array-examples	standard_init3_ground-2.yml	True	TIMEOUT	300.890477148	2885.533696	TIMEOUT	301.018686095	3149.934592	TIMEOUT	301.529096176	3149.975552	TIMEOUT	301.482577607	3150.516224	TIMEOUT	301.589485805	3150.516224	TIMEOUT	301.234131768	3150.422016	TIMEOUT	301.6247499	3150.462976
ReachSafety-Arrays	array-examples	standard_init4_ground-1.yml	False	TIMEOUT	301.047264468	3450.08128	TIMEOUT	301.309671552	3766.013952	TIMEOUT	301.490402951	3765.92384	TIMEOUT	301.619005167	3766.452224	TIMEOUT	301.741134275	3766.468608	TIMEOUT	301.356059486	3766.534144	TIMEOUT	301.779173564	3766.534144
