category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	standard_copyInitSum2_ground-2.yml	True	TIMEOUT	301.241371117	3174.854656	TIMEOUT	301.305843541	3415.666688	TIMEOUT	300.677682475	3415.67488	TIMEOUT	301.455939143	3416.195072
ReachSafety-Arrays	array-examples	standard_copyInitSum3_ground.yml	True	TIMEOUT	301.331106279	3940.171776	TIMEOUT	301.368571554	4230.541312	TIMEOUT	301.384946898	4230.565888	TIMEOUT	301.53047246	4231.225344
ReachSafety-Arrays	array-examples	standard_copyInitSum_ground.yml	True	TIMEOUT	301.186803696	3185.446912	TIMEOUT	301.387985341	3432.558592	TIMEOUT	301.242117855	3432.472576	TIMEOUT	301.336087012	3433.074688
ReachSafety-Arrays	array-examples	standard_copyInit_ground.yml	True	TIMEOUT	301.169453546	2443.976704	TIMEOUT	301.215600254	2609.549312	TIMEOUT	301.272402017	2609.512448	TIMEOUT	301.345596318	2609.987584
ReachSafety-Arrays	array-examples	standard_find_ground-1.yml	True	OUT OF MEMORY	139.392731039	4999.999488	OUT OF MEMORY	142.26285444	4999.999488	OUT OF MEMORY	141.593725439	4999.999488	OUT OF MEMORY	145.155140501	4999.999488
ReachSafety-Arrays	array-examples	standard_init1_ground-1.yml	False	TIMEOUT	301.1547467	1847.947264	TIMEOUT	301.263940627	1978.59328	TIMEOUT	301.240406323	1978.564608	TIMEOUT	301.286029458	1979.154432
ReachSafety-Arrays	array-examples	standard_init1_ground-2.yml	True	TIMEOUT	301.078910362	1847.84896	TIMEOUT	301.249289272	1978.560512	TIMEOUT	301.12974305	1978.560512	TIMEOUT	300.979361685	1979.179008
ReachSafety-Arrays	array-examples	standard_init2_ground-1.yml	False	TIMEOUT	301.185899077	2365.698048	TIMEOUT	301.283885254	2517.315584	TIMEOUT	301.172835757	2517.266432	TIMEOUT	301.272934245	2518.081536
ReachSafety-Arrays	array-examples	standard_init2_ground-2.yml	True	TIMEOUT	301.195515928	2365.612032	TIMEOUT	301.30918612	2517.372928	TIMEOUT	301.282741338	2517.286912	TIMEOUT	301.054912717	2518.052864
ReachSafety-Arrays	array-examples	standard_init3_ground-1.yml	False	TIMEOUT	301.185637765	2885.574656	TIMEOUT	301.302508089	3057.967104	TIMEOUT	301.339783129	3058.110464	TIMEOUT	301.282353441	3058.64704
