category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	standard_vector_difference_ground.yml	True	TIMEOUT	121.335666543	3428.282368	TIMEOUT	121.349949011	3850.350592	TIMEOUT	121.339246897	3850.354688	TIMEOUT	121.404373036	3429.855232
ReachSafety-Arrays	array-industry-pattern	array_mul_init.yml	True	TIMEOUT	121.083031991	998.74816	TIMEOUT	121.388988303	3236.335616	TIMEOUT	121.35440511	3315.171328	TIMEOUT	121.257975969	2587.967488
ReachSafety-Arrays	array-industry-pattern	array_of_struct_ptr_mul_init.yml	True	TIMEOUT	120.989832557	1062.2976	TIMEOUT	121.351457827	2993.799168	TIMEOUT	121.19408503	3037.114368	TIMEOUT	121.339236336	2058.26048
ReachSafety-Arrays	array-industry-pattern	array_shadowinit.yml	True	TIMEOUT	120.806773772	34.480128	TIMEOUT	120.979052435	34.36544	TIMEOUT	120.942776123	34.4064	TIMEOUT	121.032100367	35.090432
ReachSafety-Arrays	array-industry-pattern	check_removal_from_set_after_insertion.yml	False	TIMEOUT	120.299337207	255.451136	TIMEOUT	120.971946678	264.646656	TIMEOUT	120.618875495	262.16448	TIMEOUT	121.018461834	287.531008
ReachSafety-Arrays	reducercommutativity	avg05-1.yml	True	true	95.967989478	85.573632	true	98.308057166	82.628608	true	93.594055707	85.692416	true	92.886099723	83.29216
ReachSafety-Arrays	reducercommutativity	avg10-2.yml	True	TIMEOUT	121.044066869	93.319168	TIMEOUT	121.013014307	93.380608	TIMEOUT	120.91032895	93.26592	TIMEOUT	120.977565845	92.79488
ReachSafety-Arrays	reducercommutativity	avg20-2.yml	True	TIMEOUT	120.870158677	112.857088	TIMEOUT	120.291742183	114.917376	TIMEOUT	120.926479484	105.22624	TIMEOUT	121.012970314	108.609536
ReachSafety-Arrays	reducercommutativity	avg40-2.yml	True	TIMEOUT	120.995159881	115.703808	TIMEOUT	120.772866813	114.376704	TIMEOUT	120.9993973	118.29248	TIMEOUT	121.011937074	109.543424
ReachSafety-Arrays	reducercommutativity	avg60-1.yml	True	TIMEOUT	120.8709466	116.228096	TIMEOUT	120.892701635	119.99232	TIMEOUT	120.848939242	125.431808	TIMEOUT	121.013572636	119.918592
ReachSafety-Arrays	reducercommutativity	rangesum.yml	False	false(unreach-call)	4.59534531	62.3616	false(unreach-call)	4.320461689	62.394368	false(unreach-call)	4.293868693	62.345216	false(unreach-call)	4.633663815	63.111168
ReachSafety-Arrays	reducercommutativity	rangesum05.yml	False	false(unreach-call)	0.75796423	32.27648	false(unreach-call)	0.632951762	32.362496	false(unreach-call)	0.607050836	32.272384	false(unreach-call)	0.686243668	33.107968
ReachSafety-Arrays	reducercommutativity	rangesum10.yml	False	false(unreach-call)	1.227756136	32.702464	false(unreach-call)	0.918520788	32.669696	false(unreach-call)	0.932046091	32.673792	false(unreach-call)	0.947817676	33.406976
ReachSafety-Arrays	reducercommutativity	rangesum20.yml	False	false(unreach-call)	2.683842938	36.524032	false(unreach-call)	2.56669997	36.175872	false(unreach-call)	2.387558396	36.31104	false(unreach-call)	2.525690343	36.745216
ReachSafety-Arrays	reducercommutativity	rangesum40.yml	False	false(unreach-call)	42.443227651	59.080704	false(unreach-call)	45.682760247	58.724352	false(unreach-call)	44.070578521	58.638336	false(unreach-call)	46.436751337	59.744256
ReachSafety-Arrays	reducercommutativity	rangesum60.yml	False	false(unreach-call)	73.557705479	90.988544	false(unreach-call)	76.208338382	92.086272	false(unreach-call)	76.682970061	92.01664	false(unreach-call)	71.863909665	91.140096
ReachSafety-Arrays	reducercommutativity	sep.yml	True	TIMEOUT	120.997066934	52.924416	TIMEOUT	120.487336838	52.736	TIMEOUT	120.774011267	52.9408	TIMEOUT	121.008045549	53.456896
ReachSafety-Arrays	reducercommutativity	sep10-2.yml	True	true	1.158878145	32.858112	true	1.027279164	33.038336	true	0.913207439	33.038336	true	1.009188184	33.570816
ReachSafety-Arrays	reducercommutativity	sep20-1.yml	True	true	2.243374024	34.889728	true	2.169742992	35.053568	true	1.947032203	34.988032	true	2.056461699	35.233792
ReachSafety-Arrays	reducercommutativity	sep40-1.yml	True	true	6.267267684	40.534016	true	6.402369884	41.230336	true	6.118593689	40.726528	true	5.927210119	41.271296
ReachSafety-Arrays	reducercommutativity	sep60-2.yml	True	true	12.728355222	49.463296	true	12.919750785	48.918528	true	12.616748688	49.033216	true	12.158923701	50.253824
ReachSafety-Arrays	reducercommutativity	sum05-2.yml	True	true	0.604058561	32.31744	true	0.584889689	32.423936	true	0.572225441	32.432128	true	0.537797406	32.997376
ReachSafety-Arrays	reducercommutativity	sum10-1.yml	True	true	0.991761103	33.394688	true	1.03543473	33.554432	true	0.975042176	33.574912	true	0.981649976	33.951744
ReachSafety-Arrays	reducercommutativity	sum20-2.yml	True	true	2.044742667	36.593664	true	1.981514388	36.43392	true	1.98615004	36.376576	true	1.883592381	37.13024
ReachSafety-Arrays	reducercommutativity	sum40-2.yml	True	true	6.456098208	43.610112	true	7.030435277	43.880448	true	6.615647588	43.90912	true	6.636202663	44.474368
ReachSafety-Arrays	reducercommutativity	sum60-2.yml	True	true	17.225841662	54.071296	true	13.573336549	52.338688	true	13.996884324	52.330496	true	14.361169186	54.759424
ReachSafety-Arrays	array-tiling	poly2.yml	True	TIMEOUT	120.942462324	36.880384	TIMEOUT	120.699044248	36.302848	TIMEOUT	120.936350649	36.614144	TIMEOUT	120.969443176	37.240832
ReachSafety-Arrays	array-programs	copysome1-1.yml	True	TIMEOUT	121.125766759	3721.109504	TIMEOUT	121.303143409	3970.916352	TIMEOUT	121.471673705	3820.576768	TIMEOUT	121.404474378	3893.202944
ReachSafety-Arrays	array-programs	copysome1-2.yml	False	TIMEOUT	121.272157408	3708.90752	TIMEOUT	121.529706486	3975.053312	TIMEOUT	120.996061951	3820.445696	TIMEOUT	121.400200727	3487.481856
ReachSafety-Arrays	array-programs	copysome2-1.yml	True	TIMEOUT	121.389991676	4146.614272	TIMEOUT	121.750877645	5721.6	TIMEOUT	121.62001897	5644.906496	TIMEOUT	121.625949799	4658.163712
ReachSafety-Arrays	array-programs	copysome2-2.yml	False	TIMEOUT	121.2564842	3938.97984	TIMEOUT	121.60786902	5721.76384	TIMEOUT	121.738268532	5644.84096	TIMEOUT	121.62876309	4658.130944
ReachSafety-Arrays	array-programs	partial_mod_count_1.yml	True	TIMEOUT	120.80983868	114.388992	TIMEOUT	120.812597172	113.872896	TIMEOUT	120.667663501	113.13152	TIMEOUT	120.988977957	119.78752
ReachSafety-Arrays	array-programs	partial_mod_count_2.yml	True	TIMEOUT	120.540307931	109.973504	TIMEOUT	120.551968634	113.487872	TIMEOUT	120.887827638	112.128	TIMEOUT	121.008266425	115.376128
ReachSafety-Arrays	array-programs	partial_mod_count_3.yml	True	TIMEOUT	120.752670465	114.335744	TIMEOUT	120.726518457	115.695616	TIMEOUT	120.589871258	113.037312	TIMEOUT	121.027345319	120.848384
ReachSafety-Arrays	array-programs	partial_mod_count_4.yml	True	TIMEOUT	120.946173681	115.412992	TIMEOUT	120.670827101	114.696192	TIMEOUT	120.776847504	112.160768	TIMEOUT	121.010179172	111.374336
ReachSafety-Arrays	array-programs	partial_mod_count_5.yml	True	TIMEOUT	120.912977907	112.971776	TIMEOUT	120.706728513	115.073024	TIMEOUT	120.916979336	112.812032	TIMEOUT	121.032233632	118.996992
ReachSafety-Arrays	array-programs	partial_mod_count_limited_1.yml	True	TIMEOUT	120.795348222	48.5376	TIMEOUT	120.891097689	49.364992	TIMEOUT	120.919073539	48.881664	TIMEOUT	120.984035273	50.495488
ReachSafety-Arrays	array-programs	partial_mod_count_limited_2.yml	True	TIMEOUT	120.803780042	78.860288	TIMEOUT	120.883833867	79.982592	TIMEOUT	120.94970794	78.839808	TIMEOUT	121.010789183	81.424384
ReachSafety-Arrays	array-programs	partial_mod_count_limited_3.yml	True	TIMEOUT	120.80717895	80.580608	TIMEOUT	120.905246863	79.474688	TIMEOUT	120.802163247	79.147008	TIMEOUT	121.004574499	82.644992
